ID,NIS2 art. 21 lid 2,Maatregel-categorie,Concrete control,Status,Implementatie-bewijs,Eigenaar,Deadline,Laatste verificatie,Notities
M-001,(a),Risicoanalyse + infosec-policy,Security policy gepubliceerd + jaarlijks review,Open,,CEO,,,
M-002,(a),Risicoanalyse + infosec-policy,Risico-register met top 10 risico's,Open,Zie risico-register-template.xlsx,CTO,,,
M-003,(b),Incident handling,Incident response plan v1,Open,,CTO,,,
M-004,(b),Incident handling,Incident-register operationeel,Open,Zie incident-register-template.xlsx,CTO,,,
M-005,(c),Business continuity + backup,Dagelijkse backup + restore-test 2x/jaar,Open,,CTO,,,
M-006,(c),Business continuity + backup,BCP/DRP-document,Open,,CEO,,,
M-007,(d),Supply chain security,Sub-verwerker register,Open,Zie sub-verwerker-register-template.xlsx,CEO,,,
M-008,(d),Supply chain security,DPA + security addendum standaard contract,Open,,CEO,,,
M-009,(e),Secure acquisition/dev/maintenance,Code review verplicht via PR,Open,GitHub branch protection,Lead dev,,,
M-010,(e),Secure acquisition/dev/maintenance,Dependency scanning in CI,Open,Dependabot/Snyk,Lead dev,,,
M-011,(e),Secure acquisition/dev/maintenance,SAST in CI,Open,Semgrep/CodeQL,Lead dev,,,
M-012,(e),Secure acquisition/dev/maintenance,Secrets scanning,Open,gitleaks,Lead dev,,,
M-013,(e),Secure acquisition/dev/maintenance,SBOM per release,Open,CycloneDX,Lead dev,,,
M-014,(e),Secure acquisition/dev/maintenance,Pentest jaarlijks,Open,,CTO,,,
M-015,(f),Effectiviteit-assessment,Kwartaal directie security review,Open,,CEO,,,
M-016,(g),Cyberhygiene + training,Onboarding security training,Open,,CEO,,,
M-017,(g),Cyberhygiene + training,Jaarlijkse refresher + phishing simulatie,Open,,CEO,,,
M-018,(h),Crypto + encryptie,TLS 1.2+ overal,Open,,CTO,,,
M-019,(h),Crypto + encryptie,Encryption at rest klantdata,Open,AWS KMS,CTO,,,
M-020,(i),HR security + access control,Offboarding-checklist + 24u SLA,Open,,CEO,,,
M-021,(i),HR security + access control,Access review halfjaarlijks,Open,Zie access-review-template.xlsx,CTO,,,
M-022,(j),MFA + secure comms,MFA verplicht alle admin-accounts,Open,,CTO,,,
M-023,(j),MFA + secure comms,SSO via IdP,Open,,CTO,,,
M-024,Extra,Vulnerability disclosure,security.txt + security@ mailbox,Open,,CTO,,,
M-025,Extra,Klant-pakket,Security one-pager + SBOM op aanvraag,Open,,CEO,,,
