ID,Datum toegevoegd,Risico,Categorie,Asset/Proces,Dreiging,Kwetsbaarheid,Impact (1-5),Waarschijnlijkheid (1-5),Risicoscore,Bestaande maatregelen,Restrisico (1-25),Behandeling,Eigenaar,Geplande acties,Deadline,Status,Laatste review
R-001,2026-04-26,Datalek klantdata via gecompromitteerde admin-account,Vertrouwelijkheid,Productie-DB,Phishing/credential theft,MFA niet overal afgedwongen,5,3,15,Wachtwoordbeleid + sommige MFA,9,Mitigeren,CTO,MFA verplicht alle admins + hardware key,2026-05-31,Open,2026-04-26
R-002,2026-04-26,Ransomware op productie-omgeving,Beschikbaarheid,Productie-servers,Ransomware,Onvolledige backup-restore-test,5,2,10,Dagelijkse backup,8,Mitigeren,CTO,Restore-test 2x/jaar + offline backup,2026-06-30,Open,2026-04-26
R-003,2026-04-26,Supply chain compromise via npm-package,Integriteit,Build-pipeline,Malicious dependency,Geen automatische dependency scan,4,3,12,Handmatige reviews,9,Mitigeren,Lead dev,Dependabot + Snyk in CI,2026-05-15,Open,2026-04-26
R-004,2026-04-26,Key person uitval (single-point-of-knowledge),Continuiteit,Kennis,Ziekte/vertrek developer,Geen documentatie kritieke systemen,4,3,12,Code in repo,9,Mitigeren,CEO,Runbooks + bus-factor 2 op kritieke systemen,2026-07-31,Open,2026-04-26
R-005,2026-04-26,XSS/IDOR in LMS-feature,Vertrouwelijkheid,Applicatie,Web-aanval,Geen SAST + ad-hoc security testing,4,3,12,Code review,9,Mitigeren,Lead dev,Semgrep in CI + jaarlijkse pentest,2026-06-30,Open,2026-04-26
R-006,2026-04-26,Verlies klant door ontbrekende security-documentatie,Bedrijfsmatig,Sales,Klant-RFP eisen,Geen security one-pager/DPA,3,4,12,Ad-hoc reactie op klantvragen,8,Mitigeren,CEO,Security pakket samenstellen,2026-06-30,Open,2026-04-26
R-007,2026-04-26,GDPR-boete door datalek-meldverzuim,Juridisch,Compliance,Personeelfout,Onduidelijke meldketen,4,2,8,AVG awareness,6,Mitigeren,CTO,Incident response plan + DPA-template,2026-05-31,Open,2026-04-26
R-008,2026-04-26,Cloud-account hijack (klant zelf-host),Vertrouwelijkheid,Klantomgeving,Misconfiguratie klant,Geen hardening-guide,3,3,9,Documentatie installatie,6,Mitigeren,Support,Security hardening guide + IaC templates,2026-08-31,Open,2026-04-26
R-009,2026-04-26,DDoS op publieke endpoints,Beschikbaarheid,Productie,DDoS-aanval,Geen WAF/rate-limit,3,3,9,Cloud-provider basis-protectie,6,Accepteren,CTO,Cloudflare/WAF evalueren,2026-09-30,Open,2026-04-26
R-010,2026-04-26,Onbevoegde toegang ex-medewerker,Vertrouwelijkheid,Toegangsbeheer,Vergeten offboarding,Geen offboarding-checklist,4,2,8,Ad-hoc HR-proces,6,Mitigeren,CEO,Offboarding-checklist + 24u SLA,2026-05-15,Open,2026-04-26
